what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1409672844996
java.specification.name,sysinfo,,,"Java Platform API Specification",1409672844996
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409672844996
java.specification.version,sysinfo,,,"1.7",1409672844996
java.vendor,sysinfo,,,"Oracle Corporation",1409672844996
java.version,sysinfo,,,"1.7.0_51",1409672844996
java.vm.info,sysinfo,,,"mixed mode, sharing",1409672844996
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409672844996
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409672844996
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409672844996
java.vm.specification.version,sysinfo,,,"1.7",1409672844996
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409672844996
java.vm.version,sysinfo,,,"24.51-b03",1409672844996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1409672847185
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1409672847206
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1409672847216
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1409672847216
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1409672849338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1409672852049
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1409672855484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1409672908192
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1409672922252
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1409672922256
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1409672922280
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1409672922487
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1409672922499
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1409672922506
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1409672922508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1409672922639
